Date,Adj Close,Close,High,Low,Open,Volume
17/05/2022,849.8522339,875.25,918.9500122,860,872,48792877
18/05/2022,850.9202881,876.3499756,891,874.0999756,885.5499878,8919761
19/05/2022,816.45,840.8499756,867,838,867,7372427
20/05/2022,802.177063,826.1500244,856.7999878,825,848.5499878,7078291
23/05/2022,793.1468506,816.8499756,852.7000122,803.6500244,826.1500244,12444648
24/05/2022,799.2154541,823.0999756,834.7000122,816.8499756,818,4287864
25/05/2022,796.4967041,820.2999878,841.4500122,814.25,831.5,4013031
26/05/2022,788.0977173,811.6500244,824.7999878,801,820.2999878,2796468
27/05/2022,797.7589111,821.5999756,824.6500244,814.3499756,818.5499878,2215807
30/05/2022,813.44,837.75,841.4000244,825.2999878,829.9000244,3133717
31/05/2022,787.7578735,811.2999878,822,810,810,4373090
01/06/2022,786.8839722,810.4000244,817.4500122,808.5,811.4000244,1670031
02/06/2022,782.3204346,805.7000122,813.7999878,804,809.9500122,1565763
03/06/2022,777.0285034,800.25,810.75,800,808.6500244,2052785
06/06/2022,754.79,777.3499756,801.7000122,775.0999756,800.25,3033514
07/06/2022,731.1495972,753,772.9000244,751.7999878,772.9000244,3774512
08/06/2022,716.6333618,738.0499878,752.9000244,736.0999756,752.9000244,4103499
09/06/2022,700.7578735,721.7000122,736,720.0999756,729.9000244,3729113
10/06/2022,689.1061401,709.7000122,719.75,708.0499878,713,3464178
13/06/2022,648.86,668.25,690.9000244,667,690.9000244,7781730
14/06/2022,654.7332764,674.2999878,684,663,664.0999756,5348769
15/06/2022,670.1233521,690.1500244,709.7000122,679.0999756,681,9204318
16/06/2022,649.9269409,669.3499756,706,667,703.4500122,4049782
17/06/2022,635.5563354,654.5499878,669.3499756,651,669.0999756,4043000
20/06/2022,642.2076416,661.4000244,666.7000122,650,660.4500122,3522551
21/06/2022,645.8973999,665.2000122,671.4000244,663,667,2355354
22/06/2022,649.1986694,668.5999756,684.9000244,664.0999756,666,3472810
23/06/2022,645.8488159,665.1500244,674.7000122,658.5999756,670.2000122,1798979
24/06/2022,642.4503784,661.6500244,673.5499878,659.0999756,669.2999878,1743400
27/06/2022,645.5089722,664.7999878,670,661.7000122,670,1405766
28/06/2022,644.1,663.3499756,664.7999878,659,663.25,1004747
29/06/2022,658.8114624,678.5,696.8499756,657.7999878,660.0999756,4653282
30/06/2022,654.3450317,673.9000244,683.7000122,671,678.5,1681412
